advapi32.dll
bcryptprimitives.dll
comctl32.dll
cryptbase.dll
gdi32.dll
imm32.dll
kernel32.dll
KernelBase.dll
mfc42u.dll
msctf.dll
msvcrt.dll
ntdll.dll
odbc32.dll
ole32.dll
oleaut32.dll
rpcrt4.dll
sechost.dll
shell32.dll
shlwapi.dll
user32.dll
wininet.dll
winmm.dll
ws2_32.dll
