advapi32.dll
atl.dll
cfgmgr32.dll
clbcatq.dll
crypt32.dll
cryptbase.dll
cryptsp.dll
dhcpcsvc.dll
dhcpcsvc6.dll
gdi32.dll
imm32.dll
kernel32.dll
kernelbase.dll
msasn1.dll
mscorlib.ni.dll
msvcrt.dll
mswsock.dll
nsi.dll
ntdll.dll
ole32.dll
oleaut32.dll
profapi.dll
psapi.dll
rasapi32.dll
rasman.dll
rpcrt4.dll
rsaenh.dll
rtutils.dll
sechost.dll
secur32.dll
shell32.dll
shlwapi.dll
sspicli.dll
system.configuration.install.ni.dll
system.configuration.ni.dll
system.core.ni.dll
system.data.dll
system.data.ni.dll
system.directoryservices.ni.dll
system.management.ni.dll
system.ni.dll
system.transactions.dll
system.transactions.ni.dll
system.xml.ni.dll
user32.dll
userenv.dll
version.dll
winhttp.dll
ws2_32.dll
